date,rank,type,name,pct_change,lead_stock
2026-06-27,1,gain,昨日打二板以上表现,6.62,兴业科技
2026-06-27,2,gain,昨日连板_含一字,3.13,兴业科技
2026-06-27,3,gain,玻璃基板,1.78,雷曼光电
2026-06-27,4,gain,昨日连板,1.69,超声电子
2026-06-27,5,gain,工业气体,1.53,航天工程
2026-06-27,6,gain,纳米银,1.45,超声电子
2026-06-27,7,gain,植物照明,1.21,雷曼光电
2026-06-27,8,gain,中芯概念,1.2,TCL中环
2026-06-27,9,gain,光刻机(胶),0.8,兴业股份
2026-06-27,10,gain,显示技术,0.73,莱宝高科
2026-06-27,1,loss,锂矿概念,-5.84,怡 亚 通
2026-06-27,2,loss,CPO概念,-5.38,乾照光电
2026-06-27,3,loss,Kimi概念,-4.92,ST信源
2026-06-27,4,loss,同步磁阻电机,-4.8,佳电股份
2026-06-27,5,loss,2026一季报扭亏,-4.79,德明利
2026-06-27,6,loss,F5G概念,-4.74,新亚电子
2026-06-27,7,loss,铜缆高速连接,-4.7,露笑科技
2026-06-27,8,loss,阿兹海默,-4.66,吉华集团
2026-06-27,9,loss,国资云概念,-4.61,*ST易录
2026-06-27,10,loss,云计算,-4.61,科华数据
2026-06-27,1,gain,昨日打二板以上表现,6.62,兴业科技
2026-06-27,2,gain,昨日连板_含一字,3.13,兴业科技
2026-06-27,3,gain,玻璃基板,1.78,雷曼光电
2026-06-27,4,gain,昨日连板,1.69,超声电子
2026-06-27,5,gain,工业气体,1.53,航天工程
2026-06-27,6,gain,纳米银,1.45,超声电子
2026-06-27,7,gain,植物照明,1.21,雷曼光电
2026-06-27,8,gain,中芯概念,1.2,TCL中环
2026-06-27,9,gain,光刻机(胶),0.8,兴业股份
2026-06-27,10,gain,显示技术,0.73,莱宝高科
2026-06-27,1,loss,锂矿概念,-5.84,怡 亚 通
2026-06-27,2,loss,CPO概念,-5.38,乾照光电
2026-06-27,3,loss,Kimi概念,-4.92,ST信源
2026-06-27,4,loss,同步磁阻电机,-4.8,佳电股份
2026-06-27,5,loss,2026一季报扭亏,-4.79,德明利
2026-06-27,6,loss,F5G概念,-4.74,新亚电子
2026-06-27,7,loss,铜缆高速连接,-4.7,露笑科技
2026-06-27,8,loss,阿兹海默,-4.66,吉华集团
2026-06-27,9,loss,国资云概念,-4.61,*ST易录
2026-06-27,10,loss,云计算,-4.61,科华数据
2026-06-27,1,gain,昨日打二板以上表现,6.62,兴业科技
2026-06-27,2,gain,昨日连板_含一字,3.13,兴业科技
2026-06-27,3,gain,玻璃基板,1.78,雷曼光电
2026-06-27,4,gain,昨日连板,1.69,超声电子
2026-06-27,5,gain,工业气体,1.53,航天工程
2026-06-27,6,gain,纳米银,1.45,超声电子
2026-06-27,7,gain,植物照明,1.21,雷曼光电
